id,date_start,date_end,origin_id
1,2090-11-29,2090-12-01,2.0
2,2091-03-06,2091-03-10,1.0
3,2090-10-05,2090-10-08,2.0
4,2090-10-18,2090-10-21,2.0
5,2090-10-21,2090-10-24,2.0
6,2090-10-26,2090-10-28,2.0
7,2090-10-28,2090-10-30,2.0
8,2090-11-02,2090-11-04,2.0
9,2090-11-04,2090-11-07,2.0
10,2090-11-08,2090-11-11,2.0
11,2090-11-11,2090-11-14,2.0
12,2090-11-16,2090-11-18,2.0
13,2090-11-18,2090-11-21,2.0
14,2090-11-22,2090-11-23,2.0
15,2090-11-23,2090-11-25,2.0
16,2090-11-28,2090-11-30,2.0
17,2090-12-09,2090-12-12,2.0
18,2090-12-16,2090-12-18,2.0
19,2090-12-20,2090-12-26,2.0
20,2091-01-17,2091-01-20,2.0
21,2091-01-20,2091-01-22,2.0
22,2091-01-26,2091-01-29,2.0
23,2091-01-26,2091-01-29,2.0
24,2091-01-26,2091-01-30,2.0
25,2091-02-01,2091-02-03,2.0
26,2091-02-01,2091-02-03,2.0
28,2091-02-04,2091-02-06,2.0
29,2091-02-05,2091-02-07,2.0
30,2091-02-10,2091-02-11,2.0
31,2091-02-14,2091-02-18,2.0
33,2091-02-21,2091-02-23,2.0
34,2091-02-21,2091-02-23,2.0
35,2091-02-26,2091-02-28,2.0
36,2091-03-01,2091-03-03,2.0
37,2091-03-03,2091-03-05,2.0
38,2091-03-06,2091-03-08,2.0
39,2091-03-09,2091-03-13,2.0
40,2091-03-12,2091-03-15,2.0
41,2091-03-14,2091-03-17,2.0
42,2091-03-16,2091-03-21,2.0
43,2091-03-24,2091-03-25,2.0
44,2091-03-30,2091-04-03,2.0
45,2091-04-07,2091-04-09,2.0
46,2091-04-09,2091-04-11,2.0
47,2091-04-11,2091-04-13,2.0
48,2091-04-14,2091-04-16,2.0
49,2091-04-17,2091-04-19,2.0
50,2091-04-21,2091-04-23,2.0
51,2091-04-25,2091-04-27,2.0
52,2091-04-28,2091-04-30,2.0
68,2091-05-16,2091-05-19,1.0
69,2091-04-18,2091-04-21,1.0
72,2091-02-20,2091-02-22,1.0
73,2091-02-06,2091-02-10,1.0
74,2091-02-02,2091-02-03,1.0
75,2091-01-28,2091-01-29,1.0
76,2091-01-23,2091-01-27,1.0
77,2090-12-12,2090-12-16,1.0
78,2090-11-21,2090-11-25,1.0
79,2090-10-25,2090-10-28,1.0
80,2090-10-20,2090-10-21,1.0
82,2090-09-22,2090-09-23,1.0
83,2090-04-28,2090-04-29,1.0
84,2090-04-19,2090-04-22,1.0
85,2090-05-23,2090-05-27,1.0
86,2090-03-28,2090-03-30,1.0
87,2090-03-31,2090-04-01,1.0
88,2090-04-05,2090-04-09,1.0
91,2090-02-15,2090-02-18,1.0
92,2089-10-05,2089-10-06,1.0
93,2089-10-07,2089-10-08,1.0
94,2089-09-20,2089-09-23,1.0
95,2089-09-20,2089-09-23,1.0
176,2091-03-21,2091-03-23,2.0
177,2091-02-08,2091-02-10,2.0
222,2091-09-19,2091-09-20,1.0
351,2091-09-21,2091-09-22,1.0
263,2090-10-18,2090-10-19,1.0
267,2090-09-20,2090-09-21,1.0
398,2091-10-03,2091-10-06,1.0
293,2091-04-18,2091-04-21,2.0
1917,2091-10-10,2091-10-14,2.0
2283,2091-10-13,2091-10-16,2.0
3239,2091-10-17,2091-10-21,2.0
3593,2091-10-20,2091-10-23,2.0
4785,2091-12-20,2091-12-24,2.0
4790,2091-12-05,2091-12-08,2.0
4789,2091-12-15,2091-12-17,2.0
4793,2091-12-09,2091-12-11,2.0
4794,2091-12-01,2091-12-03,2.0
4862,2091-12-09,2091-12-09,1.0
4865,2091-12-11,2091-12-13,1.0
4844,2091-12-25,2091-12-26,1.0
4992,2091-12-27,2091-12-28,1.0
5459,2092-01-10,2092-01-12,1.0
5859,2092-02-02,2092-02-04,2.0
5860,2092-02-02,2092-02-04,2.0
6150,2092-02-06,2092-02-08,2.0
6159,2092-02-01,2092-02-03,2.0
6160,2092-01-29,2092-01-30,2.0
6842,2091-10-19,2091-10-20,0.0
6844,2091-10-25,2091-10-26,0.0
2616,2091-10-17,2091-10-18,1.0
6310,2092-02-05,2092-02-09,2.0
6847,2091-11-01,2091-11-05,0.0
6848,2091-11-11,2091-11-15,0.0
6850,2091-11-15,2091-11-16,0.0
6851,2091-11-27,2091-11-30,0.0
6854,2091-12-06,2091-12-06,0.0
6852,2091-11-29,2091-12-01,0.0
6849,2091-11-14,2091-11-17,0.0
6859,2092-01-13,2092-01-17,0.0
6860,2092-01-16,2092-01-20,0.0
6864,2092-02-10,2092-02-15,0.0
6866,2092-02-19,2092-02-21,0.0
6867,2092-02-20,2092-02-21,0.0
5883,2092-01-27,2092-01-28,1.0
5879,2092-01-29,2092-02-02,1.0
6869,2092-02-20,2092-02-22,0.0
6884,2092-04-02,2092-04-03,0.0
6885,2092-04-06,2092-04-08,0.0
7092,2092-03-29,2092-03-31,2.0
7093,2092-04-01,2092-04-05,2.0
6845,2091-10-25,2091-10-27,0.0
6682,2092-03-15,2092-03-18,2.0
6696,2092-03-13,2092-03-16,2.0
6698,2092-03-05,2092-03-07,2.0
6699,2092-02-23,2092-02-27,2.0
6700,2092-02-18,2092-02-23,2.0
7098,2092-03-12,2092-03-14,0.0
7104,2092-03-26,2092-03-28,0.0
7106,2092-04-01,2092-04-05,0.0
7103,2092-03-25,2092-03-28,0.0
7110,2092-04-09,2092-04-12,1.0
7112,2092-04-14,2092-04-16,2.0
7109,2092-04-08,2092-04-10,2.0
7111,2092-04-11,2092-04-13,2.0
7114,2092-04-15,2092-04-20,1.0
7116,2091-10-24,2091-10-27,0.0
7117,2092-04-29,2092-05-03,0.0
7115,2092-04-23,2092-04-26,2.0
6676,2092-02-28,2092-03-01,1.0
