id,color,school_id
9474,green,244.0
733,green,203.0
734,green,235.0
735,green,168.0
736,green,168.0
737,green,118.0
738,green,168.0
739,green,197.0
740,green,225.0
1007,green,51.0
1008,green,90.0
1009,green,90.0
1010,green,201.0
1011,green,203.0
1012,green,233.0
380,green,27.0
23,green,209.0
5104,lime,198.0
2012,green,198.0
72,green,94.0
2992,green,257.0
382,green,62.0
2179,green,111.0
2081,green,62.0
2367,green,111.0
3159,green,38.0
10123,green,49.0
10124,green,49.0
10125,green,93.0
10126,green,93.0
10127,green,93.0
10128,green,49.0
10129,green,49.0
10130,green,284.0
10131,green,49.0
10132,green,25.0
10133,green,49.0
10134,green,93.0
10135,green,93.0
10136,green,93.0
5105,green,62.0
85,green,111.0
120,green,111.0
102,green,111.0
70,green,249.0
633,green,92.0
634,green,128.0
635,green,90.0
636,green,201.0
637,green,76.0
638,green,92.0
639,green,238.0
640,green,76.0
1156,lime,87.0
1169,green,144.0
1172,lime,15.0
1174,lime,96.0
1175,lime,96.0
1177,lime,7.0
1178,lime,96.0
9453,green,254.0
1181,green,117.0
1196,green,85.0
691,lime,90.0
692,lime,169.0
693,lime,135.0
694,lime,90.0
695,lime,90.0
696,lime,99999.0
697,lime,135.0
698,lime,96.0
699,lime,135.0
700,lime,135.0
701,green,96.0
702,green,135.0
703,green,128.0
704,green,123.0
710,lime,198.0
706,green,96.0
707,green,76.0
709,lime,249.0
711,lime,249.0
713,lime,203.0
708,green,265.0
3739,green,
836,green,205.0
837,green,193.0
838,green,172.0
839,green,176.0
840,green,40.0
841,green,176.0
842,green,85.0
843,green,194.0
844,green,200.0
9503,green,198.0
9504,green,198.0
96,green,62.0
176,green,111.0
159,green,253.0
182,green,62.0
869,green,111.0
846,lime,85.0
848,lime,40.0
849,lime,85.0
850,green,40.0
3757,lime,
3758,lime,
920,green,122.0
921,green,24.0
922,green,190.0
902,lime,198.0
925,green,199.0
926,green,6.0
328,lime,128.0
331,lime,198.0
383,green,198.0
4725,green,105.0
3055,green,274.0
374,green,105.0
2921,green,270.0
4724,green,27.0
459,green,75.0
460,green,72.0
462,green,67.0
463,green,212.0
164,green,198.0
391,green,198.0
410,lime,62.0
9513,green,111.0
392,green,198.0
394,green,62.0
398,green,62.0
521,lime,252.0
522,lime,82.0
2065,green,94.0
2407,green,256.0
1776,green,198.0
5117,green,111.0
221,green,38.0
974,green,40.0
976,green,26.0
977,green,129.0
9507,green,27.0
978,green,42.0
979,green,184.0
980,green,196.0
981,green,124.0
982,green,18.0
983,green,47.0
984,green,86.0
985,green,108.0
986,green,51.0
987,green,180.0
988,lime,21.0
9508,green,27.0
9509,green,27.0
9510,green,190.0
9511,green,27.0
183,green,62.0
10137,green,198.0
235,green,253.0
218,green,64.0
1489,green,246.0
989,lime,92.0
990,lime,21.0
991,lime,154.0
